Feature 1,Feature 2,Correlation
Flow Duration,Flow IAT Max,0.9200095122265332
Flow Duration,Fwd IAT Total,0.9970498466729728
Flow Duration,Fwd IAT Max,0.9177167241103404
Flow Duration,Idle Max,0.9189683677769325
Total Fwd Packets,Total Backward Packets,0.956807231583273
Total Fwd Packets,Total Length of Bwd Packets,0.9385327360482516
Total Fwd Packets,Fwd Header Length,0.9684385661726462
Total Fwd Packets,Bwd Header Length,0.9288310378855575
Total Fwd Packets,Fwd Header Length.1,0.9684385661726462
Total Fwd Packets,Subflow Fwd Packets,1.0
Total Fwd Packets,Subflow Bwd Packets,0.956807231583273
Total Fwd Packets,Subflow Bwd Bytes,0.9385327360482516
Total Backward Packets,Total Length of Bwd Packets,0.970423870239918
Total Backward Packets,Fwd Header Length,0.9397040011273416
Total Backward Packets,Bwd Header Length,0.9755891055544422
Total Backward Packets,Fwd Header Length.1,0.9397040011273416
Total Backward Packets,Subflow Fwd Packets,0.956807231583273
Total Backward Packets,Subflow Bwd Packets,1.0
Total Backward Packets,Subflow Bwd Bytes,0.970423870239918
Total Length of Fwd Packets,Subflow Fwd Bytes,1.0
Total Length of Bwd Packets,Fwd Header Length,0.9231350176873685
Total Length of Bwd Packets,Bwd Header Length,0.945361430059101
Total Length of Bwd Packets,Fwd Header Length.1,0.9231350176873685
Total Length of Bwd Packets,Subflow Fwd Packets,0.9385327360482516
Total Length of Bwd Packets,Subflow Bwd Packets,0.970423870239918
Total Length of Bwd Packets,Subflow Bwd Bytes,1.0
Fwd Packet Length Max,Fwd Packet Length Mean,0.9409132905493094
Fwd Packet Length Max,Fwd Packet Length Std,0.9916673347483683
Fwd Packet Length Max,Avg Fwd Segment Size,0.9409132905493094
Fwd Packet Length Mean,Fwd Packet Length Std,0.9195857705411149
Fwd Packet Length Mean,Avg Fwd Segment Size,1.0
Fwd Packet Length Std,Avg Fwd Segment Size,0.9195857705411149
Bwd Packet Length Max,Bwd Packet Length Mean,0.961207145477245
Bwd Packet Length Max,Bwd Packet Length Std,0.9926411665521151
Bwd Packet Length Max,Avg Bwd Segment Size,0.961207145477244
Bwd Packet Length Mean,Bwd Packet Length Std,0.9557556228044854
Bwd Packet Length Mean,Avg Bwd Segment Size,1.0
Bwd Packet Length Std,Avg Bwd Segment Size,0.9557556228044778
Flow IAT Mean,Flow IAT Std,0.9172131052114442
Flow IAT Mean,Fwd IAT Mean,0.9209741310932312
Flow IAT Std,Flow IAT Max,0.977979151464953
Flow IAT Std,Fwd IAT Std,0.9354759832644254
Flow IAT Std,Fwd IAT Max,0.9692329837196602
Flow IAT Std,Idle Mean,0.9380131488555739
Flow IAT Std,Idle Max,0.9757739972072497
Flow IAT Max,Fwd IAT Total,0.9170672365497106
Flow IAT Max,Fwd IAT Std,0.9715692050768863
Flow IAT Max,Fwd IAT Max,0.995270629761992
Flow IAT Max,Idle Mean,0.9494595446119091
Flow IAT Max,Idle Max,0.9972609586599022
Fwd IAT Total,Fwd IAT Max,0.9213060320720267
Fwd IAT Total,Idle Max,0.9162850351422246
Fwd IAT Std,Fwd IAT Max,0.9804372726015166
Fwd IAT Std,Idle Mean,0.9128343728652227
Fwd IAT Std,Idle Max,0.9697657093323465
Fwd IAT Max,Idle Mean,0.9400077511611968
Fwd IAT Max,Idle Max,0.9929735919966359
Fwd IAT Min,Bwd IAT Min,0.9061205662214974
Bwd IAT Std,Bwd IAT Max,0.9585617165241301
Fwd PSH Flags,SYN Flag Count,1.0
Fwd Header Length,Bwd Header Length,0.9526678715219223
Fwd Header Length,Fwd Header Length.1,1.0
Fwd Header Length,Subflow Fwd Packets,0.9684385661726462
Fwd Header Length,Subflow Bwd Packets,0.9397040011273416
Fwd Header Length,Subflow Bwd Bytes,0.9231350176873685
Bwd Header Length,Fwd Header Length.1,0.9526678715219223
Bwd Header Length,Subflow Fwd Packets,0.9288310378855575
Bwd Header Length,Subflow Bwd Packets,0.9755891055544424
Bwd Header Length,Subflow Bwd Bytes,0.945361430059101
Max Packet Length,Packet Length Mean,0.9032454215072602
Max Packet Length,Packet Length Std,0.9838967838143365
Max Packet Length,Packet Length Variance,0.930111055152949
Packet Length Mean,Packet Length Std,0.9506816277373943
Packet Length Mean,Average Packet Size,0.9993540029298923
Packet Length Std,Packet Length Variance,0.9495814251774514
Packet Length Std,Average Packet Size,0.9500556771061431
RST Flag Count,ECE Flag Count,1.0
Fwd Header Length.1,Subflow Fwd Packets,0.9684385661726462
Fwd Header Length.1,Subflow Bwd Packets,0.9397040011273416
Fwd Header Length.1,Subflow Bwd Bytes,0.9231350176873685
Subflow Fwd Packets,Subflow Bwd Packets,0.956807231583273
Subflow Fwd Packets,Subflow Bwd Bytes,0.9385327360482516
Subflow Bwd Packets,Subflow Bwd Bytes,0.970423870239918
Active Mean,Active Max,0.9342592937755843
Active Mean,Active Min,0.9826619512499479
Idle Mean,Idle Max,0.9524567314299528
Idle Mean,Idle Min,0.9106612852405542
